,Year,Month,State,Units
0,2013,January,CT,93
1,2013,January,ME,11
2,2013,January,MA,343
3,2013,January,NH,0
4,2013,January,RI,6
5,2013,January,VT,5
6,2013,January,NJ,1072
7,2013,January,NY,1623
8,2013,January,PA,350
9,2013,January,IL,85
10,2013,January,IN,101
11,2013,January,MI,117
12,2013,January,OH,888
13,2013,January,WI,145
14,2013,January,IA,10
15,2013,January,KS,286
16,2013,January,MN,103
17,2013,January,MO,171
18,2013,January,NE,52
19,2013,January,ND,0
20,2013,January,SD,194
21,2013,January,DE,47
22,2013,January,DC,0
23,2013,January,FL,2222
24,2013,January,GA,171
25,2013,January,MD,378
26,2013,January,NC,1288
27,2013,January,SC,387
28,2013,January,VA,841
29,2013,January,WV,33
30,2013,January,AL,211
31,2013,January,KY,61
32,2013,January,MS,23
33,2013,January,TN,252
34,2013,January,AR,0
35,2013,January,LA,66
36,2013,January,OK,403
37,2013,January,TX,3788
38,2013,January,AZ,440
39,2013,January,CO,818
40,2013,January,ID,26
41,2013,January,MN,33
42,2013,January,NV,10
43,2013,January,NM,162
44,2013,January,UT,121
45,2013,January,WY,5
46,2013,January,AK,0
47,2013,January,CA,2264
48,2013,January,HI,355
49,2013,January,OR,419
50,2013,January,WA,1025
0,2013,February,CT,119
1,2013,February,ME,5
2,2013,February,MA,290
3,2013,February,NH,0
4,2013,February,RI,0
5,2013,February,VT,72
6,2013,February,NJ,307
7,2013,February,NY,817
8,2013,February,PA,109
9,2013,February,IL,155
10,2013,February,IN,468
11,2013,February,MI,51
12,2013,February,OH,380
13,2013,February,WI,121
14,2013,February,IA,106
15,2013,February,KS,121
16,2013,February,MN,136
17,2013,February,MO,281
18,2013,February,NE,95
19,2013,February,ND,280
20,2013,February,SD,19
21,2013,February,DE,80
22,2013,February,DC,223
23,2013,February,FL,2619
24,2013,February,GA,1623
25,2013,February,MD,141
26,2013,February,NC,795
27,2013,February,SC,156
28,2013,February,VA,192
29,2013,February,WV,0
30,2013,February,AL,90
31,2013,February,KY,151
32,2013,February,MS,25
33,2013,February,TN,143
34,2013,February,AR,0
35,2013,February,LA,86
36,2013,February,OK,286
37,2013,February,TX,4566
38,2013,February,AZ,359
39,2013,February,CO,589
40,2013,February,ID,97
41,2013,February,MN,61
42,2013,February,NV,43
43,2013,February,NM,39
44,2013,February,UT,89
45,2013,February,WY,22
46,2013,February,AK,0
47,2013,February,CA,3855
48,2013,February,HI,13
49,2013,February,OR,662
50,2013,February,WA,781
0,2013,March,CT,377
1,2013,March,ME,46
2,2013,March,MA,359
3,2013,March,NH,22
4,2013,March,RI,0
5,2013,March,VT,10
6,2013,March,NJ,733
7,2013,March,NY,668
8,2013,March,PA,583
9,2013,March,IL,466
10,2013,March,IN,220
11,2013,March,MI,102
12,2013,March,OH,244
13,2013,March,WI,236
14,2013,March,IA,73
15,2013,March,KS,68
16,2013,March,MN,499
17,2013,March,MO,364
18,2013,March,NE,188
19,2013,March,ND,272
20,2013,March,SD,314
21,2013,March,DE,43
22,2013,March,DC,10
23,2013,March,FL,2848
24,2013,March,GA,949
25,2013,March,MD,711
26,2013,March,NC,788
27,2013,March,SC,272
28,2013,March,VA,530
29,2013,March,WV,21
30,2013,March,AL,119
31,2013,March,KY,231
32,2013,March,MS,156
33,2013,March,TN,237
34,2013,March,AR,88
35,2013,March,LA,88
36,2013,March,OK,126
37,2013,March,TX,4159
38,2013,March,AZ,144
39,2013,March,CO,1334
40,2013,March,ID,34
41,2013,March,MN,140
42,2013,March,NV,123
43,2013,March,NM,34
44,2013,March,UT,342
45,2013,March,WY,0
46,2013,March,AK,13
47,2013,March,CA,1758
48,2013,March,HI,190
49,2013,March,OR,350
50,2013,March,WA,754
0,2013,April,CT,65
1,2013,April,ME,11
2,2013,April,MA,425
3,2013,April,NH,10
4,2013,April,RI,0
5,2013,April,VT,7
6,2013,April,NJ,884
7,2013,April,NY,1584
8,2013,April,PA,266
9,2013,April,IL,405
10,2013,April,IN,240
11,2013,April,MI,122
12,2013,April,OH,946
13,2013,April,WI,645
14,2013,April,IA,151
15,2013,April,KS,1233
16,2013,April,MN,513
17,2013,April,MO,153
18,2013,April,NE,491
19,2013,April,ND,208
20,2013,April,SD,160
21,2013,April,DE,80
22,2013,April,DC,31
23,2013,April,FL,4298
24,2013,April,GA,697
25,2013,April,MD,550
26,2013,April,NC,1374
27,2013,April,SC,111
28,2013,April,VA,412
29,2013,April,WV,37
30,2013,April,AL,242
31,2013,April,KY,208
32,2013,April,MS,5
33,2013,April,TN,573
34,2013,April,AR,178
35,2013,April,LA,85
36,2013,April,OK,5
37,2013,April,TX,4393
38,2013,April,AZ,626
39,2013,April,CO,343
40,2013,April,ID,44
41,2013,April,MN,66
42,2013,April,NV,244
43,2013,April,NM,22
44,2013,April,UT,148
45,2013,April,WY,5
46,2013,April,AK,11
47,2013,April,CA,4162
48,2013,April,HI,16
49,2013,April,OR,694
50,2013,April,WA,349
0,2013,May,CT,89
1,2013,May,ME,61
2,2013,May,MA,249
3,2013,May,NH,44
4,2013,May,RI,0
5,2013,May,VT,79
6,2013,May,NJ,1643
7,2013,May,NY,1267
8,2013,May,PA,379
9,2013,May,IL,562
10,2013,May,IN,302
