"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
200102,"Atlanta-Sandy Springs-Roswell, GA",12060,80,76,45,29,81,3.4,3.3,2.0,1.3,3.5
200103,"Atlanta-Sandy Springs-Roswell, GA",12060,83,82,46,27,79,3.5,3.6,2.0,1.2,3.5
200104,"Atlanta-Sandy Springs-Roswell, GA",12060,84,88,47,23,76,3.5,3.8,2.0,1.0,3.3
200105,"Atlanta-Sandy Springs-Roswell, GA",12060,79,95,49,28,83,3.3,4.1,2.1,1.2,3.6
200106,"Atlanta-Sandy Springs-Roswell, GA",12060,77,97,51,31,88,3.2,4.2,2.2,1.3,3.8
200107,"Atlanta-Sandy Springs-Roswell, GA",12060,84,97,56,34,96,3.5,4.2,2.4,1.5,4.1
200108,"Atlanta-Sandy Springs-Roswell, GA",12060,82,99,61,33,101,3.4,4.3,2.6,1.4,4.3
200109,"Atlanta-Sandy Springs-Roswell, GA",12060,83,94,62,32,101,3.5,4.1,2.7,1.4,4.4
200110,"Atlanta-Sandy Springs-Roswell, GA",12060,70,94,61,35,102,2.9,4.1,2.6,1.5,4.4
200111,"Atlanta-Sandy Springs-Roswell, GA",12060,65,88,53,35,94,2.7,3.8,2.3,1.5,4.1
200112,"Atlanta-Sandy Springs-Roswell, GA",12060,57,84,48,35,91,2.4,3.6,2.1,1.5,3.9
200201,"Atlanta-Sandy Springs-Roswell, GA",12060,57,74,42,34,83,2.4,3.3,1.9,1.5,3.6
200202,"Atlanta-Sandy Springs-Roswell, GA",12060,57,75,42,31,80,2.5,3.3,1.8,1.4,3.5
200203,"Atlanta-Sandy Springs-Roswell, GA",12060,62,77,40,30,76,2.7,3.4,1.8,1.3,3.4
200204,"Atlanta-Sandy Springs-Roswell, GA",12060,63,84,42,28,75,2.7,3.7,1.9,1.2,3.3
200205,"Atlanta-Sandy Springs-Roswell, GA",12060,64,85,44,27,76,2.8,3.8,1.9,1.2,3.3
200206,"Atlanta-Sandy Springs-Roswell, GA",12060,62,89,49,27,80,2.6,3.9,2.1,1.2,3.5
200207,"Atlanta-Sandy Springs-Roswell, GA",12060,63,93,51,33,89,2.7,4.1,2.2,1.4,3.9
200208,"Atlanta-Sandy Springs-Roswell, GA",12060,63,90,53,36,96,2.7,4.0,2.3,1.6,4.2
