"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01003","Baldwin County, Alabama","195540","*****"
"0500000US01015","Calhoun County, Alabama","116736","*****"
"0500000US01043","Cullman County, Alabama","80811","*****"
"0500000US01049","DeKalb County, Alabama","71013","*****"
"0500000US01051","Elmore County, Alabama","80902","*****"
"0500000US01055","Etowah County, Alabama","103931","*****"
"0500000US01069","Houston County, Alabama","103668","*****"
"0500000US01073","Jefferson County, Alabama","659479","*****"
"0500000US01077","Lauderdale County, Alabama","92797","*****"
"0500000US01081","Lee County, Alabama","150933","*****"
"0500000US01083","Limestone County, Alabama","88845","*****"
"0500000US01089","Madison County, Alabama","346892","*****"
"0500000US01095","Marshall County, Alabama","94760","*****"
"0500000US01097","Mobile County, Alabama","414079","*****"
"0500000US01101","Montgomery County, Alabama","226659","*****"
"0500000US01103","Morgan County, Alabama","119787","*****"
"0500000US01115","St. Clair County, Alabama","86308","*****"
"0500000US01117","Shelby County, Alabama","204180","*****"
"0500000US01121","Talladega County, Alabama","81096","*****"
"0500000US01125","Tuscaloosa County, Alabama","200821","*****"
"0500000US01127","Walker County, Alabama","65998","*****"
"0500000US02020","Anchorage Municipality, Alaska","300950","*****"
"0500000US02090","Fairbanks North Star Borough, Alaska","100436","*****"
"0500000US02170","Matanuska-Susitna Borough, Alaska","95192","*****"
"0500000US04001","Apache County, Arizona","71934","*****"
"0500000US04003","Cochise County, Arizona","129473","*****"
"0500000US04005","Coconino County, Arizona","136539","*****"
"0500000US04013","Maricopa County, Arizona","4009412","*****"
"0500000US04015","Mohave County, Arizona","203030","*****"
"0500000US04017","Navajo County, Arizona","107322","*****"
"0500000US04019","Pima County, Arizona","996554","*****"
"0500000US04021","Pinal County, Arizona","389350","*****"
"0500000US04025","Yavapai County, Arizona","215133","*****"
"0500000US04027","Yuma County, Arizona","201201","*****"
"0500000US05007","Benton County, Arkansas","237297","*****"
"0500000US05031","Craighead County, Arkansas","101488","*****"
"0500000US05045","Faulkner County, Arkansas","119580","*****"
"0500000US05051","Garland County, Arkansas","97173","*****"
"0500000US05069","Jefferson County, Arkansas","73191","*****"
"0500000US05085","Lonoke County, Arkansas","70753","*****"
"0500000US05119","Pulaski County, Arkansas","391284","*****"
"0500000US05125","Saline County, Arkansas","114404","*****"
"0500000US05131","Sebastian County, Arkansas","127342","*****"
"0500000US05143","Washington County, Arkansas","216410","*****"
"0500000US05145","White County, Arkansas","78483","*****"
"0500000US06001","Alameda County, California","1578891","*****"
"0500000US06007","Butte County, California","222090","*****"
"0500000US06013","Contra Costa County, California","1094205","*****"
"0500000US06017","El Dorado County, California","181737","*****"
"0500000US06019","Fresno County, California","955272","*****"
"0500000US06023","Humboldt County, California","134493","*****"
"0500000US06025","Imperial County, California","176584","*****"
"0500000US06029","Kern County, California","864124","*****"
"0500000US06031","Kings County, California","150960","*****"
"0500000US06033","Lake County, California","63860","*****"
"0500000US06037","Los Angeles County, California","10017068","*****"
"0500000US06039","Madera County, California","152389","*****"
"0500000US06041","Marin County, California","258365","*****"
"0500000US06045","Mendocino County, California","87192","*****"
"0500000US06047","Merced County, California","263228","*****"
"0500000US06053","Monterey County, California","428826","*****"
"0500000US06055","Napa County, California","140326","*****"
"0500000US06057","Nevada County, California","98200","*****"
"0500000US06059","Orange County, California","3114363","*****"
"0500000US06061","Placer County, California","367309","*****"
"0500000US06065","Riverside County, California","2292507","*****"
"0500000US06067","Sacramento County, California","1462131","*****"
"0500000US06071","San Bernardino County, California","2088371","*****"
"0500000US06073","San Diego County, California","3211252","*****"
"0500000US06075","San Francisco County, California","837442","*****"
"0500000US06077","San Joaquin County, California","704379","*****"
"0500000US06079","San Luis Obispo County, California","276443","*****"
"0500000US06081","San Mateo County, California","747373","*****"
"0500000US06083","Santa Barbara County, California","435697","*****"
"0500000US06085","Santa Clara County, California","1862041","*****"
"0500000US06087","Santa Cruz County, California","269419","*****"
"0500000US06089","Shasta County, California","178980","*****"
"0500000US06095","Solano County, California","424788","*****"
"0500000US06097","Sonoma County, California","495025","*****"
"0500000US06099","Stanislaus County, California","525491","*****"
"0500000US06101","Sutter County, California","95350","*****"
"0500000US06107","Tulare County, California","454143","*****"
